country,year,gdppc,elepc,laggdppc,lagelepc
Arab World,2014,2.721387788636079,0.9119694375519138,,
Arab World,2013,2.719752391464561,0.8822302531647782,2.721387788636079,0.9119694375519138
Arab World,2012,2.7119540201028056,0.858923946937114,2.719752391464561,0.8822302531647782
Arab World,2011,2.670484824778093,0.8425207576336876,2.7119540201028056,0.858923946937114
Arab World,2010,2.664220397640729,0.8271252023488737,2.670484824778093,0.8425207576336876
Arab World,2009,2.6410378151177847,0.7470486550034904,2.664220397640729,0.8271252023488737
Arab World,2008,2.655695805275007,0.7193941542799087,2.6410378151177847,0.7470486550034904
Arab World,2007,2.6233732081762313,0.6866818160981721,2.655695805275007,0.7193941542799087
Arab World,2006,2.6031232250395036,0.6587641511181845,2.6233732081762313,0.6866818160981721
Arab World,2005,2.566931552565961,0.6058614013542291,2.6031232250395036,0.6587641511181845
Arab World,2004,2.534889014132204,0.5644607509636848,2.566931552565961,0.6058614013542291
Caribbean small states,2012,2.688356358558075,1.0609772268102744,,
Caribbean small states,2011,2.6821687263799348,1.0713691524457367,2.688356358558075,1.0609772268102744
Caribbean small states,2010,2.6774367386032414,1.0398909525472475,2.6821687263799348,1.0713691524457367
Caribbean small states,2009,2.6679352762277513,0.9938047222256401,2.6774367386032414,1.0398909525472475
Caribbean small states,2008,2.7097530081692565,0.9793094785996154,2.6679352762277513,0.9938047222256401
Caribbean small states,2007,2.7004244673167377,1.1263524872981692,2.7097530081692565,0.9793094785996154
Caribbean small states,2006,2.673042353009712,1.1786467444390145,2.7004244673167377,1.1263524872981692
Caribbean small states,2005,2.608408427117799,1.16920483525531,2.673042353009712,1.1786467444390145
Caribbean small states,2004,2.5780341022715,1.119746253058675,2.608408427117799,1.16920483525531
Central Europe and the Baltics,2014,3.1571224600797323,1.4147919697150617,,
Central Europe and the Baltics,2013,3.1247021754241846,1.404954897757849,3.1571224600797323,1.4147919697150617
Central Europe and the Baltics,2012,3.107930165653424,1.4093904211414854,3.1247021754241846,1.404954897757849
Central Europe and the Baltics,2011,3.0971005421412756,1.4102291461704026,3.107930165653424,1.4093904211414854
Central Europe and the Baltics,2010,3.0628250317341763,1.390637975637752,3.0971005421412756,1.4102291461704026
Central Europe and the Baltics,2009,3.0437495028028603,1.3456119475100665,3.0628250317341763,1.390637975637752
Central Europe and the Baltics,2008,3.076627153856545,1.3984120167204193,3.0437495028028603,1.3456119475100665
Central Europe and the Baltics,2007,3.033982699312717,1.3824341698874947,3.076627153856545,1.3984120167204193
Central Europe and the Baltics,2006,2.9681195107508227,1.358030062296541,3.033982699312717,1.3824341698874947
Central Europe and the Baltics,2005,2.901595781126619,1.3189929509525593,2.9681195107508227,1.358030062296541
Central Europe and the Baltics,2004,2.8512897373583828,1.3019956074166357,2.901595781126619,1.3189929509525593
Early-demographic dividend,2014,2.077304085423502,0.13973615114594184,,
Early-demographic dividend,2013,2.046543137990616,0.11251626573196458,2.077304085423502,0.13973615114594184
Early-demographic dividend,2012,2.016765196652272,0.09034881952906416,2.046543137990616,0.11251626573196458
Early-demographic dividend,2011,1.9889501244952015,0.0656726323589477,2.016765196652272,0.09034881952906416
Early-demographic dividend,2010,1.9574622837335045,0.017357060290873007,1.9889501244952015,0.0656726323589477
Early-demographic dividend,2009,1.9105259536257795,-0.03748074676404365,1.9574622837335045,0.017357060290873007
